Priority Rank,Priority,SKU,Name,Need Type,Unit Type,Category,Subcategory,List Qty,Available Qty,Reserved Qty,Incoming Qty,Threshold Min,Sales Window Days,Units Sold,Avg Daily Sales,Days of Cover,Target Days of Cover,Recommended Reorder Qty,Urgency Score,Unavailable
35,Low,SRENE - 1g Cart - Strawberry Kush Cake,SRENE - 1g Cart - Strawberry Kush Cake,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,224.0,224.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
36,Low,SRENE - 3.5 grams - Jar - Sin City Funk,SRENE - 3.5 grams - Jar - Sin City Funk,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Jar,2471.0,2471.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
37,Low,SRENE - 1g Cart - Lemon Haze,SRENE - 1g Cart - Lemon Haze,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,73.0,73.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
38,Low,SRENE - 1g Cart - BioFuel,SRENE - 1g Cart - BioFuel,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,1210.0,1210.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
39,Low,VYBZ - 3.5 grams - GovernMint Oasis,VYBZ - 3.5 grams - GovernMint Oasis,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Mylar,91.0,91.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
40,Low,SRENE - 1g AIO Cart - White Out,SRENE - 1g AIO Cart - White Out,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,754.0,754.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
41,Low,SRENE - 1g AIO Cart - Hella Jelly,SRENE - 1g AIO Cart - Hella Jelly,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,200.0,200.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
42,Low,SRENE - 1g Cart - Gas n' Peaches,SRENE - 1g Cart - Gas n' Peaches,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,125.0,125.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
43,Low,SRENE - 1/2 Ounce - Space Junky,SRENE - 1/2 Ounce - Space Junky,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,238.0,238.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
44,Low,SRENE - 1g AIO Cart - Fruity P,SRENE - 1g AIO Cart - Fruity P,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,600.0,600.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
45,Low,SRENE - 1g AIO Cart - Tropical Breath,SRENE - 1g AIO Cart - Tropical Breath,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,125.0,125.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
46,Low,SRENE - 1g AIO Cart - Lemon Haze,SRENE - 1g AIO Cart - Lemon Haze,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,175.0,175.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
47,Low,SRENE - 1g Cart - Sin City Funk,SRENE - 1g Cart - Sin City Funk,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,355.0,355.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
48,Low,SRENE - 1g Cart - Fruity P,SRENE - 1g Cart - Fruity P,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,308.0,308.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
49,Low,Lemon Haze - Distillate,Lemon Haze - Distillate,Bulk,g,Non-Solvent Based Concentrate,Formulated Distillate,991.0,991.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
50,Low,SRENE - 1/2 Ounce - Stripper Glitter,SRENE - 1/2 Ounce - Stripper Glitter,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,7896.0,6104.0,1792.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
51,Low,SRENE - 1g Cart - Guava Papaya Smoothie,SRENE - 1g Cart - Guava Papaya Smoothie,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,534.0,534.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
52,Low,SRENE - 1g Cart - Royale Haze,SRENE - 1g Cart - Royale Haze,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,426.0,426.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
53,Low,SRENE - 1/2 Ounce - Zero Gravity,SRENE - 1/2 Ounce - Zero Gravity,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,2450.0,2450.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
54,Low,Vybz - 1g - Pre-roll - O.B.X,Vybz - 1g - Pre-roll - O.B.X,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,2743.0,2743.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
