ID,Package Label,Distru Product,Status,Metrc Status,Assembling Quantity,Available Quantity,Quantity,Unit Type,Unit Cost (Actual),Unit Cost (Default),Total Cost (Actual),Total Cost (Default),License Number,Location,Metrc Location,Lab Testing State,Lab Testing Updated Date,Is Test Sample,Is Trade Sample,THC %,THC mg/g,THC mg/mL,Total THC %,Total THC mg/g,Total THC mg/mL,CBD %,CBD mg/g,CBD mg/mL,Total CBD %,Total CBD mg/g,Total CBD mg/mL,Metrc Production Batch Number,Distru Batch Number,Description,Category,Subcategory,Created in Distru At (UTC),Packaged Date,Lot Number,Package Date,Production Strain,I/H/S/LO,Total THC mg - .5g Concentrate,Total THC mg - 1g Concentrate,Total THC mg/unit,Total THC mg/2 pack,Total THC mg/4 Pack,Total THC mg/10 Pack,Total THC mg/Package,Total THC mg/g,Protab/Hashtab,Production Flavor,Trim Strain,3rd Party Batch Number,Total THC mg/100 Pack,Total THC mg/50 Pack,STRAIN,Expiration Date,Harvest Batch,Bins,Metrc Item,Harvest Date
22518847,1A404030000232A000068112,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,active,active,0,25,25,ea,1.59,1.02,39.67,25.44,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-11-17,No,No,0.293,2.93,,0.293,2.93,,0.301,3.01,,0.301,3.01,,,P-HEB2,,Infused Edible,10pk Gummy,2026-02-11 18:29:52.113389Z,2026-02-11,,,,,,,9.96,,,99.6,,,,Hibiscus Elderberry 1:1,,,,,,2026-05-13,,,10mg SRENE Gummy - Hibiscus Elderberry - 10pk,2024-09-11
22712219,1A4040300002329000048032,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22712227,1A4040300002329000048040,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22893663,1A404030000232A000068402,SRENE - 1g AIO Cart - Guava Diesel,active,active,0,50,50,ea,3.12,0.25,156.08,12.57,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2026-02-18,No,No,91.3763,913.763,,91.3763,913.763,,0,0,,0,0,,,P-7.259,,Non-Solvent Based Concentrate (Each),1g AIO Cart,2026-02-25 19:33:34.556082Z,2026-02-25,,,Guava Diesel,,,,,,,,,,,,,,,,,,,,SRENE - 1g AIO Cart - Guava Diesel,2024-05-23
22893664,1A404030000232A000068403,SRENE - 1g AIO Cart - Guava Diesel,active,active,0,50,50,ea,3.12,0.25,156.08,12.57,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2026-02-18,No,No,91.3763,913.763,,91.3763,913.763,,0,0,,0,0,,,P-7.259,,Non-Solvent Based Concentrate (Each),1g AIO Cart,2026-02-25 19:33:34.556082Z,2026-02-25,,,Guava Diesel,,,,,,,,,,,,,,,,,,,,SRENE - 1g AIO Cart - Guava Diesel,2024-05-23
22893665,1A404030000232A000068404,SRENE - 1g AIO Cart - Guava Diesel,active,active,0,50,50,ea,3.12,0.25,156.08,12.57,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2026-02-18,No,No,91.3763,913.763,,91.3763,913.763,,0,0,,0,0,,,P-7.259,,Non-Solvent Based Concentrate (Each),1g AIO Cart,2026-02-25 19:33:34.556082Z,2026-02-25,,,Guava Diesel,,,,,,,,,,,,,,,,,,,,SRENE - 1g AIO Cart - Guava Diesel,2024-05-23
22893666,1A404030000232A000068405,SRENE - 1g AIO Cart - Guava Diesel,active,active,0,50,50,ea,3.12,0.25,156.08,12.57,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2026-02-18,No,No,91.3763,913.763,,91.3763,913.763,,0,0,,0,0,,,P-7.259,,Non-Solvent Based Concentrate (Each),1g AIO Cart,2026-02-25 19:33:34.556082Z,2026-02-25,,,Guava Diesel,,,,,,,,,,,,,,,,,,,,SRENE - 1g AIO Cart - Guava Diesel,2024-05-23
22893667,1A404030000232A000068406,SRENE - 1g AIO Cart - Guava Diesel,active,active,0,50,50,ea,3.12,0.25,156.08,12.57,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2026-02-18,No,No,91.3763,913.763,,91.3763,913.763,,0,0,,0,0,,,P-7.259,,Non-Solvent Based Concentrate (Each),1g AIO Cart,2026-02-25 19:33:34.556082Z,2026-02-25,,,Guava Diesel,,,,,,,,,,,,,,,,,,,,SRENE - 1g AIO Cart - Guava Diesel,2024-05-23
22876128,1A404030000232A000068376,SRENE - 1g Cart - Guava Diesel,active,active,0,50,50,ea,1.62,2.29,80.79,114.71,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2026-02-18,No,No,91.3763,913.763,,91.3763,913.763,,0,0,,0,0,,,P-7.259,,Non-Solvent Based Concentrate (Each),1g Cart,2026-02-25 14:37:33.503656Z,2026-02-25,,,Guava Diesel,,,,,,,,,,,,,,,,,,,,SRENE - 1g Cart - Guava Diesel,2024-05-23
22712217,1A4040300002329000048030,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
