Date,"Feb  1, 2026 to Mar  3, 2026"
Filters,"Sales Order Status: Pending, Processing, Ready to ship, Delivering, Delivered, Completed"

Name,SKU,Quantity Sold,Total Sales,Unit Type,Category,Subcategory,Group,Vendor,Product Owner,Unit Cost,Sale Price,Wholesale Price,Shipped From License,UPC
LEVEL Protab - Hybrid - 10pk - 25mg,LEV-PRO-10P-HYB,420,6520.00,Unit,Capsule/Tablet,LEVEL - 10pk,Wholesale,SSAC (P),,,16.00,16.0,08542800532746610043,
SRENE - 1/2 Ounce - Melonade,SRE-14.-MYL-MEL,215,6450.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),Brandon Green,,30.00,,17334914845519714402,
SRENE - 1g Cart - Strawberry Kush Cake,SRE-1g-CRT-SKC,610,6270.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),,,12.00,,08542800532746610043,
SRENE - 1g Cart - Gas n' Peaches,SRE-1-CRT-GNP,550,6262.50,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,,08542800532746610043,
SRENE - 3.5 grams - Jar - Lemon Rope,SRE-3.5-JAR-LEM,375,6000.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),James Ferrari,,16.00,,17334914845519714402,
VYBZ - 3.5 grams - GovernMint Oasis,VYB-3.5-MYL-GOO,525,5500.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Wholesale,SSAC (C),James Ferrari,,12.00,,17334914845519714402,
VYBZ - 3.5 grams - Purple Slush,VYB-3.5-MYL-PUS,532,5384.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Wholesale,SSAC (C),James Ferrari,,12.00,10.0,17334914845519714402,
LEVEL Hashtab - Indica - 10pk - 25mg,LEV-HAS-10P-IND,280,5360.00,Unit,Capsule/Tablet,LEVEL - 10pk,Wholesale,SSAC (P),,,20.00,20.0,08542800532746610043,
SRENE - 1g Cart - Hella Jelly,SRE-1g-CRT-HEJ,525,5350.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,,08542800532746610043,
SRENE - 1g - Pre-roll - Melonade,SRN-PRJ-MEL,1225,5225.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,4.00,4.0,17334914845519714402,
